id,name,popularity,duration_ms,artists,id_artists,release_date,mood,url
1jtkP2Vj67mcBTXJgIOZsW,Confiesalo,75,197112,"['Maria Becerra', 'Rusherking']","['1DxLCyH42yaHKGK3cl5bvG', '3Apb2lGmGJaBmr0TTBJvIZ']",12-11-2020,Happy,https://open.spotify.com/track/1jtkP2Vj67mcBTXJgIOZsW
3fBJNawfhtgCmo58trRK2z,Cerrando Ciclos,75,195453,['Banda MS de Sergio Lizárraga'],['2C6i0I5RiGzDKN9IAF8reh'],14-08-2020,Happy,https://open.spotify.com/track/3fBJNawfhtgCmo58trRK2z
5GkeaIeCEfB0LOqk7sIVHQ,Tú,75,194267,['Los Elegantes de Jerez'],['0ZcwFNId7ySqDJyhXfKIav'],24-02-2020,Happy,https://open.spotify.com/track/5GkeaIeCEfB0LOqk7sIVHQ
2OEVXCvrzJfpZaIPwsR99i,Pistola,75,157370,"['L-Gante', 'El Mas Ladron', 'DT.Bilardo']","['4YYxffPVDFe9XoqqbRW6Bq', '1M1s4ofh9rBEBWhyYsXAcn', '5kfMU816qY0ujqEt3xIHqR']",06-11-2020,Happy,https://open.spotify.com/track/10cA6m379GINGe7ZF6g3q1
16wAOAZ2OkqoIDN7TpChjR,Yummy,75,208520,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],14-02-2020,Happy,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
4xWzZmX4K1yyrdtRfbUvjt,Oh Juliana,75,153078,['Niack'],['5uYe4bcAXlMP7d4mrOYkML'],30-06-2020,Happy,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
38KsRHYE10bG0paU78gL9r,me & ur ghost,75,201398,['blackbear'],['2cFrymmkijnjDg9SS92EPM'],21-08-2020,Happy,https://open.spotify.com/track/5tiZBnx5IvETA0Pj3gELjn
1SF8piqsZWn86DajVKih8F,Kacey Talk,75,151249,['YoungBoy Never Broke Again'],['7wlFDEWiM5OoIAt8RSli8b'],11-09-2020,Happy,https://open.spotify.com/track/1SF8piqsZWn86DajVKih8F
10n66m41IGjA2ZulKPK7Ew,Seni Dert Etmeler,75,188500,['Madrigal'],['2aZlYOswKNlrwqpuTsckKd'],27-03-2020,Happy,https://open.spotify.com/track/10n66m41IGjA2ZulKPK7Ew
7bUvgvAf0tdQIty95lV5wf,Dance With You,75,244321,"['Skusta Clee', 'Yuridope']","['117XFtbZPnCI1EYKjYZWJc', '5xOvrnVpLjzfGi69GDlzQY']",19-11-2020,Happy,https://open.spotify.com/track/7bUvgvAf0tdQIty95lV5wf
5Ym4egUmT9wHEvZM2anGG8,napori,75,203787,['Vaundy'],['2IUl3m1H1EQ7QfNbNWvgru'],27-05-2020,Happy,https://open.spotify.com/track/5Ax1dr8UvllkM8wyLhmc2r
6b6IMqP565TbtFFZg9iFf3,"I Can't Help Myself (Sugar Pie, Honey Bunch)",74,160280,['Four Tops'],['7fIvjotigTGWqjIz6EP1i4'],1965,Happy,https://open.spotify.com/track/6b6IMqP565TbtFFZg9iFf3
4uGIJG1jYFonGc4LGp5uQL,Somebody to Love,74,174840,['Jefferson Airplane'],['2qFr8w5sWUITRlzZ9kZotF'],1967,Happy,https://open.spotify.com/track/4uGIJG1jYFonGc4LGp5uQL
0P7DoyGrr4Wp9w5TotEtUC,The Weight - Remastered,74,274493,['The Band'],['4vpDg7Y7fU982Ds30zawDA'],01-07-1968,Happy,https://open.spotify.com/track/0P7DoyGrr4Wp9w5TotEtUC
63OFKbMaZSDZ4wtesuuq6f,Born To Be Wild,74,210373,['Steppenwolf'],['1WRM9i067hd2ujxxi8FI3m'],1968,Happy,https://open.spotify.com/track/3lN8PP6R2IxbLP05QpYXng
2gE95JskwQ1pCACTpGe1Db,Down On The Corner,74,166280,['Creedence Clearwater Revival'],['3IYUhFvPQItj6xySrBmZkd'],02-11-1969,Happy,https://open.spotify.com/track/2gE95JskwQ1pCACTpGe1Db
3lh3iiiJeiBXHSZw6u0kh6,Into the Mystic - 2013 Remaster,74,205613,['Van Morrison'],['44NX2ffIYHr6D4n7RaZF7A'],1970-02,Happy,https://open.spotify.com/track/3lh3iiiJeiBXHSZw6u0kh6
14XWXWv5FoCbFzLksawpEe,Riders on the Storm,74,434720,['The Doors'],['22WZ7M8sxp5THdruNY3gXt'],19-04-1971,Happy,https://open.spotify.com/track/14XWXWv5FoCbFzLksawpEe
2SpEHTbUuebeLkgs9QB7Ue,Jolene,74,161533,['Dolly Parton'],['32vWCbZh0xZ4o9gkz4PsEU'],04-02-1974,Happy,https://open.spotify.com/track/2SpEHTbUuebeLkgs9QB7Ue
0PDCewmZCp0P5s00bptcdd,This Will Be (An Everlasting Love),74,171960,['Natalie Cole'],['5tTsrGPwQRWUsHR2Xf7Ke9'],01-01-1975,Happy,https://open.spotify.com/track/0PDCewmZCp0P5s00bptcdd
6gXrEUzibufX9xYPk3HD5p,Life in the Fast Lane - 2013 Remaster,74,286220,['Eagles'],['0ECwFtbIWEVNwjlrfc6xoL'],08-12-1976,Happy,https://open.spotify.com/track/6gXrEUzibufX9xYPk3HD5p
0qRR9d89hIS0MHRkQ0ejxX,Rich Girl,74,142787,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],01-08-1976,Happy,https://open.spotify.com/track/0qRR9d89hIS0MHRkQ0ejxX
